userId	geneSymbol	geneName	entrezgene	gLink
KIF16B	KIF16B	kinesin family member 16B	55614	https://www.ncbi.nlm.nih.gov/gene/?term=55614
SMARCD2	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	6603	https://www.ncbi.nlm.nih.gov/gene/?term=6603
ARHGAP23	ARHGAP23	Rho GTPase activating protein 23	57636	https://www.ncbi.nlm.nih.gov/gene/?term=57636
PTMA	PTMA	prothymosin alpha	5757	https://www.ncbi.nlm.nih.gov/gene/?term=5757
ZCCHC24	ZCCHC24	zinc finger CCHC-type containing 24	219654	https://www.ncbi.nlm.nih.gov/gene/?term=219654
SMIM4	SMIM4	small integral membrane protein 4	440957	https://www.ncbi.nlm.nih.gov/gene/?term=440957
TRPV5	TRPV5	transient receptor potential cation channel subfamily V member 5	56302	https://www.ncbi.nlm.nih.gov/gene/?term=56302
C3	C3	complement C3	718	https://www.ncbi.nlm.nih.gov/gene/?term=718
PRR34-AS1	PRR34-AS1	PRR34 antisense RNA 1	150381	https://www.ncbi.nlm.nih.gov/gene/?term=150381
LPAR1	LPAR1	lysophosphatidic acid receptor 1	1902	https://www.ncbi.nlm.nih.gov/gene/?term=1902
CBLN3	CBLN3	cerebellin 3 precursor	643866	https://www.ncbi.nlm.nih.gov/gene/?term=643866
TFEB	TFEB	transcription factor EB	7942	https://www.ncbi.nlm.nih.gov/gene/?term=7942
HELZ	HELZ	helicase with zinc finger	9931	https://www.ncbi.nlm.nih.gov/gene/?term=9931
MTA1	MTA1	metastasis associated 1	9112	https://www.ncbi.nlm.nih.gov/gene/?term=9112
PBX4	PBX4	PBX homeobox 4	80714	https://www.ncbi.nlm.nih.gov/gene/?term=80714
TTC21B	TTC21B	tetratricopeptide repeat domain 21B	79809	https://www.ncbi.nlm.nih.gov/gene/?term=79809
SAFB	SAFB	scaffold attachment factor B	6294	https://www.ncbi.nlm.nih.gov/gene/?term=6294
CBLB	CBLB	Cbl proto-oncogene B	868	https://www.ncbi.nlm.nih.gov/gene/?term=868
POLR2I	POLR2I	RNA polymerase II subunit I	5438	https://www.ncbi.nlm.nih.gov/gene/?term=5438
TSR3	TSR3	TSR3, acp transferase ribosome maturation factor	115939	https://www.ncbi.nlm.nih.gov/gene/?term=115939
TTLL11	TTLL11	tubulin tyrosine ligase like 11	158135	https://www.ncbi.nlm.nih.gov/gene/?term=158135
MAP3K11	MAP3K11	mitogen-activated protein kinase kinase kinase 11	4296	https://www.ncbi.nlm.nih.gov/gene/?term=4296
MAU2	MAU2	MAU2 sister chromatid cohesion factor	23383	https://www.ncbi.nlm.nih.gov/gene/?term=23383
DTNBP1	DTNBP1	dystrobrevin binding protein 1	84062	https://www.ncbi.nlm.nih.gov/gene/?term=84062
FAM3A	FAM3A	family with sequence similarity 3 member A	60343	https://www.ncbi.nlm.nih.gov/gene/?term=60343
TSPAN9	TSPAN9	tetraspanin 9	10867	https://www.ncbi.nlm.nih.gov/gene/?term=10867
TLR2	TLR2	toll like receptor 2	7097	https://www.ncbi.nlm.nih.gov/gene/?term=7097
IWS1	IWS1	IWS1, SUPT6H interacting protein	55677	https://www.ncbi.nlm.nih.gov/gene/?term=55677
PABPN1	PABPN1	poly(A) binding protein nuclear 1	8106	https://www.ncbi.nlm.nih.gov/gene/?term=8106
DENND6A	DENND6A	DENN domain containing 6A	201627	https://www.ncbi.nlm.nih.gov/gene/?term=201627
LRCH1	LRCH1	leucine rich repeats and calponin homology domain containing 1	23143	https://www.ncbi.nlm.nih.gov/gene/?term=23143
ABCA2	ABCA2	ATP binding cassette subfamily A member 2	20	https://www.ncbi.nlm.nih.gov/gene/?term=20
HK2	HK2	hexokinase 2	3099	https://www.ncbi.nlm.nih.gov/gene/?term=3099
SETD6	SETD6	SET domain containing 6, protein lysine methyltransferase	79918	https://www.ncbi.nlm.nih.gov/gene/?term=79918
ZNF846	ZNF846	zinc finger protein 846	162993	https://www.ncbi.nlm.nih.gov/gene/?term=162993
FAM234A	FAM234A	family with sequence similarity 234 member A	83986	https://www.ncbi.nlm.nih.gov/gene/?term=83986
C19orf25	C19orf25	chromosome 19 open reading frame 25	148223	https://www.ncbi.nlm.nih.gov/gene/?term=148223
CYTH1	CYTH1	cytohesin 1	9267	https://www.ncbi.nlm.nih.gov/gene/?term=9267
CNNM4	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	26504	https://www.ncbi.nlm.nih.gov/gene/?term=26504
TRPV1	TRPV1	transient receptor potential cation channel subfamily V member 1	7442	https://www.ncbi.nlm.nih.gov/gene/?term=7442
POLR3E	POLR3E	RNA polymerase III subunit E	55718	https://www.ncbi.nlm.nih.gov/gene/?term=55718
MAP3K4	MAP3K4	mitogen-activated protein kinase kinase kinase 4	4216	https://www.ncbi.nlm.nih.gov/gene/?term=4216
UBXN1	UBXN1	UBX domain protein 1	51035	https://www.ncbi.nlm.nih.gov/gene/?term=51035
CAPN12	CAPN12	calpain 12	147968	https://www.ncbi.nlm.nih.gov/gene/?term=147968
TRIM22	TRIM22	tripartite motif containing 22	10346	https://www.ncbi.nlm.nih.gov/gene/?term=10346
FGF1	FGF1	fibroblast growth factor 1	2246	https://www.ncbi.nlm.nih.gov/gene/?term=2246
SPDL1	SPDL1	spindle apparatus coiled-coil protein 1	54908	https://www.ncbi.nlm.nih.gov/gene/?term=54908
BTG1	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
CLASRP	CLASRP	CLK4 associating serine/arginine rich protein	11129	https://www.ncbi.nlm.nih.gov/gene/?term=11129
ZNF160	ZNF160	zinc finger protein 160	90338	https://www.ncbi.nlm.nih.gov/gene/?term=90338
EPB41L4A-AS1	EPB41L4A-AS1	EPB41L4A antisense RNA 1	114915	https://www.ncbi.nlm.nih.gov/gene/?term=114915
SS18L2	SS18L2	SS18 like 2	51188	https://www.ncbi.nlm.nih.gov/gene/?term=51188
MLH3	MLH3	mutL homolog 3	27030	https://www.ncbi.nlm.nih.gov/gene/?term=27030
POT1-AS1	POT1-AS1	POT1 antisense RNA 1	401398	https://www.ncbi.nlm.nih.gov/gene/?term=401398
NRN1L	NRN1L	neuritin 1 like	123904	https://www.ncbi.nlm.nih.gov/gene/?term=123904
LIPE	LIPE	lipase E, hormone sensitive type	3991	https://www.ncbi.nlm.nih.gov/gene/?term=3991
TMEM63A	TMEM63A	transmembrane protein 63A	9725	https://www.ncbi.nlm.nih.gov/gene/?term=9725
H1FX	H1FX	H1 histone family member X	8971	https://www.ncbi.nlm.nih.gov/gene/?term=8971
PACS2	PACS2	phosphofurin acidic cluster sorting protein 2	23241	https://www.ncbi.nlm.nih.gov/gene/?term=23241
TMEM165	TMEM165	transmembrane protein 165	55858	https://www.ncbi.nlm.nih.gov/gene/?term=55858
RBPJ	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	3516	https://www.ncbi.nlm.nih.gov/gene/?term=3516
UNC5B	UNC5B	unc-5 netrin receptor B	219699	https://www.ncbi.nlm.nih.gov/gene/?term=219699
FBRS	FBRS	fibrosin	64319	https://www.ncbi.nlm.nih.gov/gene/?term=64319
SELENOO	SELENOO	selenoprotein O	83642	https://www.ncbi.nlm.nih.gov/gene/?term=83642
KIAA1755	KIAA1755	KIAA1755	85449	https://www.ncbi.nlm.nih.gov/gene/?term=85449
MAP7D1	MAP7D1	MAP7 domain containing 1	55700	https://www.ncbi.nlm.nih.gov/gene/?term=55700
EMC10	EMC10	ER membrane protein complex subunit 10	284361	https://www.ncbi.nlm.nih.gov/gene/?term=284361
CBFA2T2	CBFA2T2	CBFA2/RUNX1 translocation partner 2	9139	https://www.ncbi.nlm.nih.gov/gene/?term=9139
CCHCR1	CCHCR1	coiled-coil alpha-helical rod protein 1	54535	https://www.ncbi.nlm.nih.gov/gene/?term=54535
TRPM6	TRPM6	transient receptor potential cation channel subfamily M member 6	140803	https://www.ncbi.nlm.nih.gov/gene/?term=140803
ANAPC5	ANAPC5	anaphase promoting complex subunit 5	51433	https://www.ncbi.nlm.nih.gov/gene/?term=51433
DMAP1	DMAP1	DNA methyltransferase 1 associated protein 1	55929	https://www.ncbi.nlm.nih.gov/gene/?term=55929
PQLC2	PQLC2	PQ loop repeat containing 2	54896	https://www.ncbi.nlm.nih.gov/gene/?term=54896
RAB40B	RAB40B	RAB40B, member RAS oncogene family	10966	https://www.ncbi.nlm.nih.gov/gene/?term=10966
RANGRF	RANGRF	RAN guanine nucleotide release factor	29098	https://www.ncbi.nlm.nih.gov/gene/?term=29098
LAMTOR1	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1	55004	https://www.ncbi.nlm.nih.gov/gene/?term=55004
KIF1C	KIF1C	kinesin family member 1C	10749	https://www.ncbi.nlm.nih.gov/gene/?term=10749
ZC3H14	ZC3H14	zinc finger CCCH-type containing 14	79882	https://www.ncbi.nlm.nih.gov/gene/?term=79882
CSF2RB	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1439	https://www.ncbi.nlm.nih.gov/gene/?term=1439
NOP53	NOP53	NOP53 ribosome biogenesis factor	29997	https://www.ncbi.nlm.nih.gov/gene/?term=29997
UQCC3	UQCC3	ubiquinol-cytochrome c reductase complex assembly factor 3	790955	https://www.ncbi.nlm.nih.gov/gene/?term=790955
RTKN	RTKN	rhotekin	6242	https://www.ncbi.nlm.nih.gov/gene/?term=6242
GAB2	GAB2	GRB2 associated binding protein 2	9846	https://www.ncbi.nlm.nih.gov/gene/?term=9846
PRPF31	PRPF31	pre-mRNA processing factor 31	26121	https://www.ncbi.nlm.nih.gov/gene/?term=26121
MRGBP	MRGBP	MRG domain binding protein	55257	https://www.ncbi.nlm.nih.gov/gene/?term=55257
NBPF15	NBPF15	NBPF member 15	284565	https://www.ncbi.nlm.nih.gov/gene/?term=284565
PTOV1	PTOV1	PTOV1, extended AT-hook containing adaptor protein	53635	https://www.ncbi.nlm.nih.gov/gene/?term=53635
SETD3	SETD3	SET domain containing 3, actin histidine methyltransferase	84193	https://www.ncbi.nlm.nih.gov/gene/?term=84193
CDK18	CDK18	cyclin dependent kinase 18	5129	https://www.ncbi.nlm.nih.gov/gene/?term=5129
PLEKHG3	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	26030	https://www.ncbi.nlm.nih.gov/gene/?term=26030
INTS11	INTS11	integrator complex subunit 11	54973	https://www.ncbi.nlm.nih.gov/gene/?term=54973
DPM2	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory	8818	https://www.ncbi.nlm.nih.gov/gene/?term=8818
SAC3D1	SAC3D1	SAC3 domain containing 1	29901	https://www.ncbi.nlm.nih.gov/gene/?term=29901
CPOX	CPOX	coproporphyrinogen oxidase	1371	https://www.ncbi.nlm.nih.gov/gene/?term=1371
TPRA1	TPRA1	transmembrane protein adipocyte associated 1	131601	https://www.ncbi.nlm.nih.gov/gene/?term=131601
STX4	STX4	syntaxin 4	6810	https://www.ncbi.nlm.nih.gov/gene/?term=6810
SNRNP35	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	11066	https://www.ncbi.nlm.nih.gov/gene/?term=11066
GET4	GET4	golgi to ER traffic protein 4	51608	https://www.ncbi.nlm.nih.gov/gene/?term=51608
HSPBAP1	HSPBAP1	HSPB1 associated protein 1	79663	https://www.ncbi.nlm.nih.gov/gene/?term=79663
RPSA	RPSA	ribosomal protein SA	3921	https://www.ncbi.nlm.nih.gov/gene/?term=3921
SHROOM4	SHROOM4	shroom family member 4	57477	https://www.ncbi.nlm.nih.gov/gene/?term=57477
ZNF253	ZNF253	zinc finger protein 253	56242	https://www.ncbi.nlm.nih.gov/gene/?term=56242
SNX6	SNX6	sorting nexin 6	58533	https://www.ncbi.nlm.nih.gov/gene/?term=58533
ELL	ELL	elongation factor for RNA polymerase II	8178	https://www.ncbi.nlm.nih.gov/gene/?term=8178
TXNRD2	TXNRD2	thioredoxin reductase 2	10587	https://www.ncbi.nlm.nih.gov/gene/?term=10587
DUSP23	DUSP23	dual specificity phosphatase 23	54935	https://www.ncbi.nlm.nih.gov/gene/?term=54935
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
PAF1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	54623	https://www.ncbi.nlm.nih.gov/gene/?term=54623
PLA2G16	PLA2G16	phospholipase A2 group XVI	11145	https://www.ncbi.nlm.nih.gov/gene/?term=11145
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326	https://www.ncbi.nlm.nih.gov/gene/?term=1326
ESS2	ESS2	ess-2 splicing factor homolog	8220	https://www.ncbi.nlm.nih.gov/gene/?term=8220
NELFA	NELFA	negative elongation factor complex member A	7469	https://www.ncbi.nlm.nih.gov/gene/?term=7469
ZNF506	ZNF506	zinc finger protein 506	440515	https://www.ncbi.nlm.nih.gov/gene/?term=440515
CEP44	CEP44	centrosomal protein 44	80817	https://www.ncbi.nlm.nih.gov/gene/?term=80817
PRR14	PRR14	proline rich 14	78994	https://www.ncbi.nlm.nih.gov/gene/?term=78994
WDR5	WDR5	WD repeat domain 5	11091	https://www.ncbi.nlm.nih.gov/gene/?term=11091
MRPS15	MRPS15	mitochondrial ribosomal protein S15	64960	https://www.ncbi.nlm.nih.gov/gene/?term=64960
ANKRD40	ANKRD40	ankyrin repeat domain 40	91369	https://www.ncbi.nlm.nih.gov/gene/?term=91369
RNF227	RNF227	ring finger protein 227	284023	https://www.ncbi.nlm.nih.gov/gene/?term=284023
PCSK6	PCSK6	proprotein convertase subtilisin/kexin type 6	5046	https://www.ncbi.nlm.nih.gov/gene/?term=5046
LINC01184	LINC01184	long intergenic non-protein coding RNA 1184	644873	https://www.ncbi.nlm.nih.gov/gene/?term=644873
MPHOSPH9	MPHOSPH9	M-phase phosphoprotein 9	10198	https://www.ncbi.nlm.nih.gov/gene/?term=10198
RPS5	RPS5	ribosomal protein S5	6193	https://www.ncbi.nlm.nih.gov/gene/?term=6193
DDX54	DDX54	DEAD-box helicase 54	79039	https://www.ncbi.nlm.nih.gov/gene/?term=79039
BORCS6	BORCS6	BLOC-1 related complex subunit 6	54785	https://www.ncbi.nlm.nih.gov/gene/?term=54785
MVB12B	MVB12B	multivesicular body subunit 12B	89853	https://www.ncbi.nlm.nih.gov/gene/?term=89853
SFTPC	SFTPC	surfactant protein C	6440	https://www.ncbi.nlm.nih.gov/gene/?term=6440
TPTEP1	TPTEP1	TPTE pseudogene 1	387590	https://www.ncbi.nlm.nih.gov/gene/?term=387590
NOL4L	NOL4L	nucleolar protein 4 like	140688	https://www.ncbi.nlm.nih.gov/gene/?term=140688
CDC42EP1	CDC42EP1	CDC42 effector protein 1	11135	https://www.ncbi.nlm.nih.gov/gene/?term=11135
SLC45A3	SLC45A3	solute carrier family 45 member 3	85414	https://www.ncbi.nlm.nih.gov/gene/?term=85414
NDRG1	NDRG1	N-myc downstream regulated 1	10397	https://www.ncbi.nlm.nih.gov/gene/?term=10397
ZBTB17	ZBTB17	zinc finger and BTB domain containing 17	7709	https://www.ncbi.nlm.nih.gov/gene/?term=7709
FARP2	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	9855	https://www.ncbi.nlm.nih.gov/gene/?term=9855
RPS9	RPS9	ribosomal protein S9	6203	https://www.ncbi.nlm.nih.gov/gene/?term=6203
VIL1	VIL1	villin 1	7429	https://www.ncbi.nlm.nih.gov/gene/?term=7429
NFIX	NFIX	nuclear factor I X	4784	https://www.ncbi.nlm.nih.gov/gene/?term=4784
TSSC4	TSSC4	tumor suppressing subtransferable candidate 4	10078	https://www.ncbi.nlm.nih.gov/gene/?term=10078
RNF214	RNF214	ring finger protein 214	257160	https://www.ncbi.nlm.nih.gov/gene/?term=257160
RPL10	RPL10	ribosomal protein L10	6134	https://www.ncbi.nlm.nih.gov/gene/?term=6134
WDFY4	WDFY4	WDFY family member 4	57705	https://www.ncbi.nlm.nih.gov/gene/?term=57705
DYNC1LI2	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783	https://www.ncbi.nlm.nih.gov/gene/?term=1783
SPSB3	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	90864	https://www.ncbi.nlm.nih.gov/gene/?term=90864
ENKD1	ENKD1	enkurin domain containing 1	84080	https://www.ncbi.nlm.nih.gov/gene/?term=84080
GAPVD1	GAPVD1	GTPase activating protein and VPS9 domains 1	26130	https://www.ncbi.nlm.nih.gov/gene/?term=26130
PHLDA3	PHLDA3	pleckstrin homology like domain family A member 3	23612	https://www.ncbi.nlm.nih.gov/gene/?term=23612
CHST5	CHST5	carbohydrate sulfotransferase 5	23563	https://www.ncbi.nlm.nih.gov/gene/?term=23563
TCEANC2	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	127428	https://www.ncbi.nlm.nih.gov/gene/?term=127428
KRTCAP2	KRTCAP2	keratinocyte associated protein 2	200185	https://www.ncbi.nlm.nih.gov/gene/?term=200185
ZEB2-AS1	ZEB2-AS1	ZEB2 antisense RNA 1	100303491	https://www.ncbi.nlm.nih.gov/gene/?term=100303491
DGKD	DGKD	diacylglycerol kinase delta	8527	https://www.ncbi.nlm.nih.gov/gene/?term=8527
TJAP1	TJAP1	tight junction associated protein 1	93643	https://www.ncbi.nlm.nih.gov/gene/?term=93643
LRRC23	LRRC23	leucine rich repeat containing 23	10233	https://www.ncbi.nlm.nih.gov/gene/?term=10233
PTP4A2	PTP4A2	protein tyrosine phosphatase type IVA, member 2	8073	https://www.ncbi.nlm.nih.gov/gene/?term=8073
TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	10906	https://www.ncbi.nlm.nih.gov/gene/?term=10906
TMEM39B	TMEM39B	transmembrane protein 39B	55116	https://www.ncbi.nlm.nih.gov/gene/?term=55116
DENND5A	DENND5A	DENN domain containing 5A	23258	https://www.ncbi.nlm.nih.gov/gene/?term=23258
MAP2K7	MAP2K7	mitogen-activated protein kinase kinase 7	5609	https://www.ncbi.nlm.nih.gov/gene/?term=5609
OXLD1	OXLD1	oxidoreductase like domain containing 1	339229	https://www.ncbi.nlm.nih.gov/gene/?term=339229
RPL18A	RPL18A	ribosomal protein L18a	6142	https://www.ncbi.nlm.nih.gov/gene/?term=6142
ZSCAN21	ZSCAN21	zinc finger and SCAN domain containing 21	7589	https://www.ncbi.nlm.nih.gov/gene/?term=7589
PMPCA	PMPCA	peptidase, mitochondrial processing alpha subunit	23203	https://www.ncbi.nlm.nih.gov/gene/?term=23203
CHTOP	CHTOP	chromatin target of PRMT1	26097	https://www.ncbi.nlm.nih.gov/gene/?term=26097
EPB41L4A	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	https://www.ncbi.nlm.nih.gov/gene/?term=64097
JPT2	JPT2	Jupiter microtubule associated homolog 2	90861	https://www.ncbi.nlm.nih.gov/gene/?term=90861
RPLP2	RPLP2	ribosomal protein lateral stalk subunit P2	6181	https://www.ncbi.nlm.nih.gov/gene/?term=6181
TTC17	TTC17	tetratricopeptide repeat domain 17	55761	https://www.ncbi.nlm.nih.gov/gene/?term=55761
ARHGEF2	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	9181	https://www.ncbi.nlm.nih.gov/gene/?term=9181
WNK1	WNK1	WNK lysine deficient protein kinase 1	65125	https://www.ncbi.nlm.nih.gov/gene/?term=65125
DYNLL2	DYNLL2	dynein light chain LC8-type 2	140735	https://www.ncbi.nlm.nih.gov/gene/?term=140735
CRTC2	CRTC2	CREB regulated transcription coactivator 2	200186	https://www.ncbi.nlm.nih.gov/gene/?term=200186
ZNF655	ZNF655	zinc finger protein 655	79027	https://www.ncbi.nlm.nih.gov/gene/?term=79027
VPS28	VPS28	VPS28, ESCRT-I subunit	51160	https://www.ncbi.nlm.nih.gov/gene/?term=51160
WDR45B	WDR45B	WD repeat domain 45B	56270	https://www.ncbi.nlm.nih.gov/gene/?term=56270
FPR1	FPR1	formyl peptide receptor 1	2357	https://www.ncbi.nlm.nih.gov/gene/?term=2357
PIK3C2B	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	5287	https://www.ncbi.nlm.nih.gov/gene/?term=5287
MYO1D	MYO1D	myosin ID	4642	https://www.ncbi.nlm.nih.gov/gene/?term=4642
DNAAF1	DNAAF1	dynein axonemal assembly factor 1	123872	https://www.ncbi.nlm.nih.gov/gene/?term=123872
MAL	MAL	mal, T cell differentiation protein	4118	https://www.ncbi.nlm.nih.gov/gene/?term=4118
RPS2	RPS2	ribosomal protein S2	6187	https://www.ncbi.nlm.nih.gov/gene/?term=6187
FBXO22	FBXO22	F-box protein 22	26263	https://www.ncbi.nlm.nih.gov/gene/?term=26263
MTG2	MTG2	mitochondrial ribosome associated GTPase 2	26164	https://www.ncbi.nlm.nih.gov/gene/?term=26164
CLDND1	CLDND1	claudin domain containing 1	56650	https://www.ncbi.nlm.nih.gov/gene/?term=56650
ELMO2	ELMO2	engulfment and cell motility 2	63916	https://www.ncbi.nlm.nih.gov/gene/?term=63916
ALAD	ALAD	aminolevulinate dehydratase	210	https://www.ncbi.nlm.nih.gov/gene/?term=210
HSPA2	HSPA2	heat shock protein family A (Hsp70) member 2	3306	https://www.ncbi.nlm.nih.gov/gene/?term=3306
MYO18A	MYO18A	myosin XVIIIA	399687	https://www.ncbi.nlm.nih.gov/gene/?term=399687
CLN8	CLN8	CLN8, transmembrane ER and ERGIC protein	2055	https://www.ncbi.nlm.nih.gov/gene/?term=2055
NME3	NME3	NME/NM23 nucleoside diphosphate kinase 3	4832	https://www.ncbi.nlm.nih.gov/gene/?term=4832
SLC2A8	SLC2A8	solute carrier family 2 member 8	29988	https://www.ncbi.nlm.nih.gov/gene/?term=29988
C19orf81	C19orf81	chromosome 19 open reading frame 81	342918	https://www.ncbi.nlm.nih.gov/gene/?term=342918
RPL28	RPL28	ribosomal protein L28	6158	https://www.ncbi.nlm.nih.gov/gene/?term=6158
IP6K2	IP6K2	inositol hexakisphosphate kinase 2	51447	https://www.ncbi.nlm.nih.gov/gene/?term=51447
TRIM65	TRIM65	tripartite motif containing 65	201292	https://www.ncbi.nlm.nih.gov/gene/?term=201292
NACAD	NACAD	NAC alpha domain containing	23148	https://www.ncbi.nlm.nih.gov/gene/?term=23148
PTPN2	PTPN2	protein tyrosine phosphatase, non-receptor type 2	5771	https://www.ncbi.nlm.nih.gov/gene/?term=5771
SLC6A8	SLC6A8	solute carrier family 6 member 8	6535	https://www.ncbi.nlm.nih.gov/gene/?term=6535
ERF	ERF	ETS2 repressor factor	2077	https://www.ncbi.nlm.nih.gov/gene/?term=2077
KAT8	KAT8	lysine acetyltransferase 8	84148	https://www.ncbi.nlm.nih.gov/gene/?term=84148
SGTA	SGTA	small glutamine rich tetratricopeptide repeat containing alpha	6449	https://www.ncbi.nlm.nih.gov/gene/?term=6449
GPATCH2L	GPATCH2L	G-patch domain containing 2 like	55668	https://www.ncbi.nlm.nih.gov/gene/?term=55668
